coors
"(121, 267.8995876681881)"
"(123, 267.018035705031)"
"(124, 266.5863287596685)"
"(126, 265.7406700622366)"
"(127, 265.3265674265406)"
"(128, 264.9181832621539)"
"(129, 264.5154439994972)"
"(131, 263.72660960994335)"
"(132, 263.3403710421005)"
"(134, 262.583898051868)"
"(135, 262.2135245687487)"
"(137, 261.4881613885724)"
"(138, 261.1330369469566)"
"(140, 260.43757083311084)"
"(141, 260.0970986684484)"
"(143, 259.4303551463456)"
"(144, 259.10395748455466)"
"(146, 258.4647997723434)"
"(147, 258.1519175416097)"
"(149, 257.53924597377284)"
"(150, 257.2393385163488)"
"(152, 256.6520899673016)"
"(153, 256.3646347513054)"
"(156, 255.52627439020802)"
"(157, 255.25464012443172)"
"(159, 254.72277851337785)"
"(160, 254.4624461185429)"
"(162, 253.95272027312538)"
"(163, 253.70322555545107)"
"(166, 252.97561967184873)"
"(167, 252.73988223977852)"
"(170, 252.05240201991313)"
"(171, 251.829665818126)"
"(174, 251.1801008259846)"
"(175, 250.96964809603082)"
"(179, 250.15705178937253)"
"(180, 249.9610009199195)"
"(184, 249.20399983179232)"
"(185, 249.02135869235948)"
"(190, 248.14596803362988)"
"(191, 247.97820566393577)"
"(197, 247.02001789151657)"
"(198, 246.86808616491817)"
"(206, 245.72712253428892)"
"(207, 245.59339331647328)"
"(216, 244.47178384454799)"
"(217, 244.35583361996146)"
"(227, 243.28391321222279)"
"(228, 243.1850584132505)"
"(239, 242.18954369279055)"
"(240, 242.10701417011495)"
"(254, 241.07991544783903)"
"(255, 241.01531442068972)"
"(278, 239.82695081163507)"
"(279, 239.78776191250734)"
"(311, 239.06867702055115)"
"(312, 239.06312624045057)"
"(314, 239.05518163004137)"
"(315, 239.0527943502321)"
"(316, 239.0514682578816)"
"(317, 239.0512068281963)"
"(338, 239.29843908273085)"
"(339, 239.32259057359033)"
"(340, 239.34789976299544)"
"(341, 239.37437091001254)"
"(355, 239.86930745885763)"
"(356, 239.9137025559753)"
"(357, 239.95932372951756)"
"(358, 240.00617455380973)"
"(359, 240.05425853087536)"
"(373, 240.85867382227013)"
"(374, 240.925615281389)"
"(387, 241.9124966707841)"
"(388, 241.99741251769365)"
"(398, 242.9172067399861)"
"(399, 243.01621937226037)"
"(409, 244.07569796694088)"
"(410, 244.18849745807097)"
"(419, 245.25821767389948)"
"(420, 245.38301445242905)"
"(429, 246.55737188164562)"
"(430, 246.6933700624702)"
"(438, 247.81868354292942)"
"(439, 247.96382498386993)"
"(446, 249.00556927118373)"
"(447, 249.15788121270566)"
"(456, 250.56353141264958)"
"(457, 250.72323437540285)"
"(464, 251.85752214131116)"
"(465, 252.02162531120098)"
"(473, 253.34822508187153)"
"(474, 253.51536862507805)"
"(480, 254.5213595885441)"
"(481, 254.68925927882992)"
"(485, 255.36034473502832)"
"(486, 255.52781868836246)"
"(487, 255.6951042115072)"
"(488, 255.86216564549431)"
"(491, 256.3616407787765)"
"(492, 256.527438516149)"
"(500, 257.8357032846884)"
"(501, 257.99635838179074)"
"(508, 259.0965650041139)"
"(509, 259.24970462529177)"
"(516, 260.2866967063969)"
"(517, 260.4292318170096)"
"(525, 261.5087959170028)"
"(526, 261.63530921982783)"
"(534, 262.5678879134789)"
"(535, 262.67358597540897)"
"(542, 263.33607667888646)"
"(543, 263.41884334406905)"
"(551, 263.960416378588)"
"(552, 264.0119265517478)"
"(559, 264.2601870939661)"
"(558, 264.23731826786616)"
"(557, 264.2101142982533)"
"(556, 264.1786576598806)"
"(554, 264.10331235987815)"
"(553, 264.0595847424406)"
"(547, 263.71740093765857)"
"(546, 263.6477830244039)"
"(544, 263.4984312955362)"
"(543, 263.41884334406905)"
"(542, 263.33607667888646)"
"(541, 263.2502023897041)"
"(540, 263.16129083570513)"
"(539, 263.06941164908767)"
"(529, 262.0022064056343)"
"(528, 261.8820746308038)"
"(521, 260.98324454360954)"
"(520, 260.8472695991236)"
"(514, 259.9971631905878)"
"(513, 259.8502693790497)"
"(511, 259.55248439566776)"
"(510, 259.40169404267954)"
"(509, 259.24970462529177)"
"(508, 259.0965650041139)"
"(507, 258.94232342663236)"
"(506, 258.7870275307705)"
"(505, 258.63072434844344)"
"(504, 258.47346030911535)"
"(503, 258.315281243365)"
"(498, 257.512223114383)"
"(497, 257.34948324262336)"
"(494, 256.8577636359141)"
"(493, 256.6928257756663)"
"(492, 256.527438516149)"
"(487, 255.6951042115072)"
"(486, 255.52781868836246)"
"(480, 254.5213595885441)"
"(479, 254.3534743893706)"
"(474, 253.51536862507805)"
"(473, 253.34822508187153)"
"(465, 252.02162531120098)"
"(464, 251.85752214131116)"
"(463, 251.6938869239957)"
"(462, 251.5307439987846)"
"(461, 251.3681172557565)"
"(457, 250.72323437540285)"
"(456, 250.56353141264958)"
"(456, 250.56353141264958)"
"(455, 250.40447873327753)"
"(452, 249.9314287293721)"
"(451, 249.77518142673625)"
"(444, 248.70348278536926)"
"(443, 248.55374144317693)"
"(441, 248.25694269625797)"
"(440, 248.10991621320431)"
"(435, 247.38909785766145)"
"(434, 247.24789368920779)"
"(433, 247.10770659277796)"
"(432, 246.96854897205662)"
"(426, 246.15587411048637)"
"(425, 246.0242417833715)"
"(423, 245.76433657577195)"
"(422, 245.6360822793281)"
"(423, 245.76433657577195)"
"(432, 246.96854897205662)"
"(433, 247.10770659277796)"
"(440, 248.10991621320431)"
"(441, 248.25694269625797)"
"(449, 249.46495657581386)"
"(450, 249.61968445082744)"
"(451, 249.77518142673625)"
"(452, 249.9314287293721)"
"(456, 250.56353141264958)"
"(457, 250.72323437540285)"
"(459, 251.04450565063848)"
"(460, 251.2060301390925)"
"(461, 251.3681172557565)"
"(464, 251.85752214131116)"
"(465, 252.02162531120098)"
"(467, 252.35113588196896)"
"(468, 252.51649232449859)"
"(470, 252.84827665567514)"
"(471, 253.01465079318814)"
"(474, 253.51536862507805)"
"(475, 253.68271122286683)"
"(476, 253.85022335689428)"
"(471, 253.01465079318814)"
"(470, 252.84827665567514)"
"(463, 251.6938869239957)"
"(462, 251.5307439987846)"
"(454, 250.2460971808182)"
"(453, 250.08840717781277)"
"(444, 248.70348278536926)"
"(443, 248.55374144317693)"
"(436, 247.53130634818513)"
"(435, 247.38909785766145)"
"(425, 246.0242417833715)"
"(424, 245.89372612267834)"
"(415, 244.77079309689475)"
"(414, 244.65191361586153)"
"(405, 243.6368731101761)"
"(404, 243.53028280220224)"
"(399, 243.01621937226037)"
"(398, 242.9172067399861)"
"(393, 242.4412830399158)"
"(392, 242.34993938558137)"
"(388, 241.99741251769365)"
"(387, 241.9124966707841)"
"(382, 241.50722668037372)"
"(381, 241.43003311637244)"
"(375, 240.99383318933997)"
"(374, 240.925615281389)"
"(371, 240.72861267605356)"
"(370, 240.66548888220188)"
"(365, 240.36884470828)"
"(364, 240.31329276924998)"
"(360, 240.1035790868798)"
"(362, 240.2059432397176)"
"(363, 240.25899327756179)"
"(369, 240.60363333079044)"
"(370, 240.66548888220188)"
"(374, 240.925615281389)"
"(375, 240.99383318933997)"
"(379, 241.27950181339725)"
"(380, 241.354125113073)"
"(384, 241.66547312676266)"
"(385, 241.7465269206034)"
"(384, 241.66547312676266)"
"(377, 241.13410512948576)"
"(376, 241.06332927464643)"
"(356, 239.9137025559753)"
"(355, 239.86930745885763)"
"(354, 239.8261347950961)"
"(353, 239.78418085643716)"
"(336, 239.2535921226562)"
"(335, 239.23288810825807)"
"(299, 239.21623670423497)"
"(298, 239.23520418612884)"
"(297, 239.25518848218388)"
"(296, 239.27618805002726)"
"(293, 239.34526509961267)"
"(292, 239.37031320786258)"
"(291, 239.39637106490807)"
"(288, 239.48059752584885)"
"(287, 239.51068960198563)"
"(286, 239.5417898782037)"
"(266, 240.37724786876072)"
"(265, 240.4298717228828)"
"(250, 241.34969769895565)"
"(249, 241.42003022383818)"
"(236, 242.44488236992112)"
"(235, 242.53262272291607)"
"(225, 243.48602463296157)"
"(224, 243.58931629491798)"
"(215, 244.58940837029644)"
"(214, 244.7087290479098)"
"(204, 246.00034546249037)"
"(203, 246.139892321824)"
"(196, 247.17411656309682)"
"(195, 247.33041286464444)"
"(193, 247.64972360385661)"
"(192, 247.8128019284377)"
"(188, 248.48870416394533)"
"(187, 248.66374697702108)"
"(183, 249.3892468809437)"
"(182, 249.5771373093805)"
"(179, 250.15705178937253)"
"(178, 250.35590141992833)"
"(174, 251.1801008259846)"
"(173, 251.39355919415598)"
"(170, 252.05240201991313)"
"(169, 252.27831975901134)"
"(166, 252.97561967184873)"
"(165, 253.21472402914816)"
"(162, 253.95272027312538)"
"(161, 254.2057770204863)"
"(159, 254.72277851337785)"
"(158, 254.98682577970587)"
"(155, 255.80178205899355)"
"(154, 256.08121725561114)"
"(152, 256.6520899673016)"
"(151, 256.94363897836297)"
"(149, 257.53924597377284)"
"(148, 257.84341940736107)"
"(146, 258.4647997723434)"
"(145, 258.7821261702733)"
"(143, 259.4303551463456)"
"(142, 259.76138127236453)"
"(140, 260.43757083311084)"
"(139, 260.7828619610999)"
"(137, 261.4881613885724)"
"(136, 261.8483015907474)"
"(134, 262.583898051868)"
"(133, 262.95949048698014)"
"(131, 263.72660960994335)"
"(130, 264.1182768114802)"
"(128, 264.9181832621539)"
"(127, 265.3265674265406)"
"(125, 266.16056548486864)"
"(124, 266.5863287596685)"
"(123, 267.018035705031)"
"(122, 267.4557628960724)"
"(120, 268.34958812061086)"
"(118, 269.26843230384327)"
"(117, 269.73743608432727)"
"(116, 270.21293565158305)"
"(115, 270.6950129774005)"
"(114, 271.18375081875485)"
"(113, 271.679232721365)"
"(112, 272.1815430232515)"
"(111, 272.6907668582944)"
"(110, 273.2069901597915)"
"(109, 273.73029966401634)"
"(108, 274.26078291377604)"
"(107, 274.7985282619697)"
"(106, 275.343624875146)"
"(105, 275.8961627370618)"
"(104, 276.4562326522395)"
"(103, 277.02392624952563)"
"(101, 278.1825551487767)"
"(100, 278.7736778620766)"
"(99, 279.3727990872707)"
"(98, 279.9800146281957)"
"(96, 281.2191161045033)"
"(95, 281.85119789015204)"
"(94, 282.4917656991799)"
"(93, 283.14091959936445)"
"(91, 284.46539026518417)"
"(90, 285.1409114979185)"
"(87, 287.22186395487864)"
"(86, 287.933995370083)"
"(85, 288.6555448021841)"
"(84, 289.3866202182098)"
"(80, 292.40837247879847)"
"(79, 293.18872878635955)"
"(76, 295.591412164795)"
"(75, 296.4132288815158)"
"(67, 303.3813916680424)"
"(66, 304.3034352476626)"
"(61, 309.0924720572274)"
"(61, 309.0924720572274)"
"(51, 319.61692000061976)"
"(51, 319.61692000061976)"
"(48, 323.0361534081669)"
