X,Y
[252],[328.50774757078216]
[252],[328.50774757078216]
[254],[325.0914392519571]
[254],[325.0914392519571]
[256],[321.67748023914646]
[257],[319.97151319896693]
[258],[318.26624048346457]
[261],[313.1542537835285]
[256],[321.67748023914646]
[255],[323.38413360857703]
[256],[321.67748023914646]
[257],[319.97151319896693]
[257],[319.97151319896693]
[259],[316.56164290641937]
[259],[316.56164290641937]
[260],[314.8576729781071]
[260],[314.8576729781071]
[262],[311.45127786067496]
[262],[311.45127786067496]
[263],[309.7486060786632]
[263],[309.7486060786632]
[265],[306.3434533385607]
[265],[306.3434533385607]
[266],[304.64052567823273]
[266],[304.64052567823273]
[267],[302.9370065107669]
[267],[302.9370065107669]
[269],[299.5268980462006]
[269],[299.5268980462006]
[271],[296.1101460017471]
[271],[296.1101460017471]
[272],[294.39816994727335]
[272],[294.39816994727335]
[273],[292.68311814260414]
[273],[292.68311814260414]
[275],[289.241496045006]
[275],[289.241496045006]
[276],[287.51366618538486]
[276],[287.51366618538486]
[277],[285.7802391986206]
[277],[285.7802391986206]
[279],[282.29354910909206]
[279],[282.29354910909206]
[280],[280.53863847326465]
[280],[280.53863847326465]
[281],[278.7748334005755]
[281],[278.7748334005755]
[282],[277.00117991065963]
[282],[277.00117991065963]
[284],[273.4202401119055]
[284],[273.4202401119055]
[285],[271.61077083117743]
[285],[271.61077083117743]
[286],[269.7870849459596]
[286],[269.7870849459596]
[287],[267.9479467339497]
[287],[267.9479467339497]
[289],[264.2180707501775]
[289],[264.2180707501775]
[290],[262.3245584779597]
[290],[262.3245584779597]
[291],[260.41004263447576]
[291],[260.41004263447576]
[292],[258.47297771078047]
[292],[258.47297771078047]
[293],[256.5117528751598]
[293],[256.5117528751598]
[294],[254.5246908513236]
[294],[254.5246908513236]
[295],[252.51004679670768]
[295],[252.51004679670768]
[296],[250.46600718057925]
[296],[250.46600718057925]
[297],[248.39068866233902]
[297],[248.39068866233902]
[298],[246.282136969583]
[298],[246.282136969583]
[299],[244.1383257764919]
[299],[244.1383257764919]
[300],[241.9571555818202]
[300],[241.9571555818202]
[301],[239.73645258735087]
[301],[239.73645258735087]
[302],[237.47396757585557]
[302],[237.47396757585557]
[303],[235.16737478944742]
[303],[235.16737478944742]
[304],[232.81427080773028]
[304],[232.81427080773028]
[305],[230.4121734260425]
[305],[230.4121734260425]
[306],[227.95852053362069]
[306],[227.95852053362069]
[307],[225.4506689918071]
[307],[225.4506689918071]
[308],[222.88589351227893]
[308],[222.88589351227893]
[309],[220.26138553520468]
[309],[220.26138553520468]
[310],[217.574252107539]
