coors
"(392, 243.44591125084727)"
"(393, 243.63191942201522)"
"(404, 245.4869363066516)"
"(405, 245.63830291083124)"
"(414, 246.87511416692834)"
"(415, 246.9990043023183)"
"(425, 248.10078942573475)"
"(426, 248.1981840011001)"
"(434, 248.9055978308863)"
"(435, 248.98600026493952)"
"(443, 249.57989172142354)"
"(444, 249.649209560873)"
"(452, 250.18355484397418)"
"(453, 250.2493970194748)"
"(461, 250.7922678322095)"
"(462, 250.86406576624287)"
"(469, 251.41201998634116)"
"(470, 251.49859817771105)"
"(476, 252.0775340470029)"
"(477, 252.18555069713713)"
"(483, 252.91952774137846)"
"(484, 253.0579840271932)"
"(494, 254.76094685157133)"
"(495, 254.9679879321868)"
"(503, 256.9194312327493)"
"(504, 257.2040972469806)"
"(509, 258.7820749700752)"
"(508, 258.4449232916161)"
"(507, 258.11883418844104)"
"(506, 257.8035213595051)"
"(505, 257.49870209281494)"
"(504, 257.2040972469806)"
"(503, 256.9194312327493)"
"(498, 255.63578433557288)"
"(497, 255.405160530526)"
"(494, 254.76094685157133)"
"(493, 254.56128001666295)"
"(492, 254.3687496934419)"
"(487, 253.50505717264988)"
"(486, 253.35053872850787)"
"(480, 252.5329894260478)"
"(479, 252.4130902008403)"
"(474, 251.87208881344233)"
"(473, 251.7743020147502)"
"(465, 251.08799778925297)"
"(464, 251.01178628860654)"
"(463, 250.93719089579938)"
"(462, 250.86406576624287)"
"(461, 250.7922678322095)"
"(457, 250.51558285354824)"
"(456, 250.44837077958456)"
"(456, 250.44837077958456)"
"(455, 250.38168477536894)"
"(452, 250.18355484397418)"
"(451, 250.11775785366828)"
"(444, 249.649209560873)"
"(443, 249.57989172142354)"
"(441, 249.43850052759373)"
"(440, 249.36624674912693)"
"(435, 248.98600026493952)"
"(434, 248.9055978308863)"
"(433, 248.82356916275623)"
"(432, 248.7398436924952)"
"(426, 248.1981840011001)"
"(425, 248.10078942573475)"
"(423, 247.89940045480282)"
"(422, 247.7953056670178)"
"(424, 248.0012119851692)"
"(425, 248.10078942573475)"
"(426, 248.1981840011001)"
"(427, 248.2934490112991)"
"(432, 248.7398436924952)"
"(433, 248.82356916275623)"
"(440, 249.36624674912693)"
"(441, 249.43850052759373)"
"(449, 249.98584702228)"
"(450, 250.0518923081256)"
"(451, 250.11775785366828)"
"(452, 250.18355484397418)"
"(456, 250.44837077958456)"
"(457, 250.51558285354824)"
"(459, 250.65209505340246)"
"(460, 250.72165678438088)"
"(461, 250.7922678322095)"
"(464, 251.01178628860654)"
"(465, 251.08799778925297)"
"(467, 251.24586648756778)"
"(468, 251.32782942490505)"
"(470, 251.49859817771105)"
"(471, 251.58772689245527)"
"(474, 251.87208881344233)"
"(475, 251.9731069547108)"
"(476, 252.0775340470029)"
"(477, 252.18555069713713)"
"(478, 252.29734052876776)"
"(482, 252.78601076617926)"
"(483, 252.91952774137846)"
"(492, 254.3687496934419)"
