coors
"(72, 302)"
"(71, 303)"
"(72, 304)"
"(73, 304)"
"(74, 305)"
"(72, 307)"
"(71, 306)"
"(70, 306)"
"(70, 308)"
"(71, 307)"
"(72, 308)"
"(72, 309)"
"(71, 310)"
"(70, 310)"
"(70, 311)"
"(71, 312)"
"(72, 312)"
"(73, 313)"
"(72, 314)"
"(70, 314)"
"(70, 316)"
"(68, 318)"
"(69, 317)"
"(70, 318)"
"(70, 319)"
"(71, 320)"
"(69, 322)"
"(66, 322)"
"(68, 324)"
"(68, 325)"
"(67, 326)"
"(66, 326)"
"(65, 325)"
"(65, 324)"
"(64, 324)"
"(63, 323)"
"(61, 323)"
"(62, 324)"
"(62, 325)"
"(63, 326)"
"(63, 327)"
"(64, 326)"
"(67, 326)"
"(68, 327)"
"(67, 328)"
"(65, 328)"
"(66, 329)"
"(67, 329)"
"(68, 330)"
"(68, 331)"
"(67, 332)"
"(68, 332)"
"(68, 328)"
"(69, 327)"
"(70, 328)"
"(70, 329)"
"(71, 329)"
"(72, 330)"
"(71, 331)"
"(70, 331)"
"(70, 332)"
"(72, 334)"
"(70, 336)"
"(67, 336)"
"(66, 335)"
"(67, 334)"
"(66, 334)"
"(66, 335)"
"(65, 336)"
"(62, 336)"
"(62, 337)"
"(64, 337)"
"(65, 336)"
"(66, 337)"
"(67, 337)"
"(68, 338)"
"(67, 339)"
"(66, 339)"
"(65, 340)"
"(64, 340)"
"(64, 341)"
"(67, 341)"
"(68, 342)"
"(67, 343)"
"(66, 343)"
"(64, 345)"
"(65, 344)"
"(66, 345)"
"(65, 344)"
"(66, 343)"
"(69, 343)"
"(70, 344)"
"(70, 346)"
"(69, 347)"
"(65, 347)"
"(67, 347)"
"(68, 348)"
"(69, 348)"
"(70, 349)"
"(69, 350)"
"(70, 351)"
"(69, 352)"
"(66, 352)"
"(64, 350)"
"(64, 352)"
"(65, 353)"
"(64, 354)"
"(65, 354)"
"(66, 353)"
"(67, 353)"
"(68, 354)"
"(67, 355)"
"(67, 356)"
"(68, 356)"
"(69, 355)"
"(69, 352)"
"(70, 351)"
"(73, 354)"
"(72, 355)"
"(71, 355)"
"(72, 356)"
"(71, 357)"
"(70, 357)"
"(70, 358)"
"(71, 359)"
"(71, 361)"
"(73, 363)"
"(72, 364)"
"(69, 364)"
"(68, 363)"
"(66, 363)"
"(66, 365)"
"(67, 364)"
"(69, 366)"
"(68, 367)"
"(68, 369)"
"(67, 370)"
"(66, 369)"
"(65, 369)"
"(67, 371)"
"(67, 372)"
"(65, 374)"
"(68, 377)"
"(70, 377)"
"(71, 378)"
"(71, 380)"
"(70, 381)"
"(68, 381)"
"(69, 381)"
"(70, 382)"
"(70, 386)"
"(66, 390)"
"(67, 391)"
"(67, 392)"
"(66, 393)"
"(66, 394)"
"(65, 395)"
"(65, 396)"
"(64, 397)"
"(63, 397)"
"(63, 400)"
"(62, 401)"
"(60, 401)"
"(62, 401)"
"(63, 402)"
"(61, 404)"
"(62, 405)"
"(60, 407)"
"(60, 408)"
"(59, 409)"
"(58, 409)"
"(59, 410)"
"(59, 411)"
"(57, 413)"
"(58, 414)"
"(57, 415)"
"(57, 416)"
"(56, 417)"
"(56, 418)"
"(55, 419)"
"(55, 421)"
"(54, 422)"
"(54, 423)"
"(53, 424)"
"(52, 424)"
"(52, 428)"
"(50, 430)"
"(50, 431)"
"(48, 433)"
"(48, 435)"
"(47, 436)"
"(47, 438)"
"(46, 439)"
"(46, 440)"
"(46, 439)"
"(47, 438)"
"(47, 437)"
"(48, 436)"
"(48, 435)"
"(49, 434)"
"(49, 433)"
"(50, 432)"
"(50, 431)"
"(51, 430)"
"(51, 429)"
"(52, 428)"
"(52, 426)"
"(53, 425)"
"(53, 424)"
"(54, 423)"
"(54, 422)"
"(55, 421)"
"(55, 419)"
"(57, 417)"
"(57, 416)"
"(58, 415)"
"(58, 413)"
"(59, 412)"
"(59, 411)"
"(60, 410)"
"(60, 409)"
"(61, 408)"
"(61, 406)"
"(62, 405)"
"(62, 404)"
"(63, 403)"
"(63, 401)"
"(64, 400)"
"(64, 399)"
"(66, 397)"
"(66, 395)"
"(67, 394)"
"(67, 393)"
"(68, 392)"
"(68, 390)"
"(69, 389)"
"(69, 387)"
"(70, 386)"
"(70, 385)"
"(71, 384)"
"(71, 382)"
"(72, 381)"
"(72, 379)"
"(73, 378)"
"(73, 377)"
"(74, 376)"
"(74, 373)"
"(75, 372)"
"(75, 371)"
"(76, 370)"
"(76, 368)"
"(77, 367)"
"(77, 364)"
"(78, 363)"
"(78, 359)"
"(79, 358)"
"(80, 358)"
"(80, 354)"
"(81, 353)"
"(81, 351)"
"(82, 350)"
"(81, 349)"
"(81, 348)"
"(83, 346)"
"(82, 345)"
"(82, 344)"
"(83, 343)"
"(83, 339)"
"(84, 338)"
"(84, 337)"
"(83, 336)"
"(84, 335)"
"(85, 335)"
"(85, 331)"
"(84, 330)"
"(85, 329)"
"(84, 328)"
"(84, 327)"
"(85, 326)"
"(84, 325)"
"(86, 323)"
"(88, 323)"
"(89, 322)"
"(89, 318)"
"(88, 317)"
"(88, 311)"
"(87, 310)"
"(87, 308)"
"(86, 307)"
"(86, 303)"
"(84, 301)"
"(85, 300)"
"(85, 295)"
"(86, 294)"
"(87, 295)"
"(87, 296)"
"(88, 297)"
"(88, 298)"
"(89, 299)"
"(88, 300)"
"(88, 302)"
"(90, 304)"
"(90, 305)"
"(89, 306)"
"(89, 307)"
"(90, 308)"
"(90, 309)"
"(91, 310)"
"(91, 312)"
"(92, 313)"
"(92, 314)"
"(93, 315)"
"(93, 317)"
"(95, 319)"
"(95, 321)"
"(97, 321)"
"(98, 322)"
"(98, 323)"
"(100, 323)"
"(101, 324)"
"(107, 324)"
"(108, 323)"
"(109, 324)"
"(110, 323)"
"(127, 323)"
"(128, 324)"
"(136, 324)"
"(137, 325)"
"(139, 325)"
"(140, 324)"
"(148, 324)"
"(140, 324)"
"(139, 323)"
"(140, 322)"
"(144, 322)"
"(143, 321)"
"(143, 319)"
"(142, 319)"
"(142, 321)"
"(141, 322)"
"(139, 320)"
"(139, 318)"
"(137, 320)"
"(136, 320)"
"(135, 319)"
"(135, 318)"
"(135, 320)"
"(134, 321)"
"(133, 321)"
"(132, 320)"
"(132, 318)"
"(130, 316)"
"(129, 317)"
"(128, 316)"
"(128, 317)"
"(126, 319)"
"(125, 318)"
"(125, 317)"
"(124, 316)"
"(125, 315)"
"(126, 315)"
"(128, 313)"
"(131, 313)"
"(130, 313)"
"(129, 312)"
"(128, 312)"
"(127, 311)"
"(126, 311)"
"(125, 310)"
"(121, 310)"
"(120, 311)"
"(119, 310)"
"(116, 310)"
"(115, 309)"
"(115, 308)"
"(116, 307)"
"(114, 305)"
"(114, 304)"
"(113, 304)"
"(112, 303)"
"(108, 303)"
"(107, 302)"
"(108, 301)"
"(109, 301)"
"(109, 300)"
"(110, 299)"
"(111, 299)"
"(112, 298)"
"(112, 297)"
"(112, 298)"
"(111, 299)"
"(110, 298)"
"(109, 298)"
"(108, 299)"
"(107, 299)"
"(108, 300)"
"(107, 301)"
"(104, 301)"
"(103, 300)"
"(104, 299)"
"(104, 298)"
"(105, 297)"
"(106, 297)"
"(107, 296)"
"(110, 296)"
"(109, 296)"
"(108, 295)"
"(106, 295)"
"(105, 294)"
"(107, 292)"
"(108, 292)"
"(108, 290)"
"(107, 289)"
"(108, 288)"
"(106, 288)"
"(105, 289)"
"(104, 288)"
"(105, 289)"
"(104, 290)"
"(97, 290)"
"(96, 289)"
"(98, 287)"
"(95, 290)"
"(94, 289)"
"(94, 284)"
"(93, 285)"
"(92, 284)"
"(92, 283)"
"(93, 282)"
"(94, 282)"
"(94, 281)"
"(92, 281)"
"(91, 280)"
"(91, 279)"
"(90, 280)"
"(89, 280)"
"(89, 281)"
"(88, 282)"
"(87, 281)"
"(87, 280)"
"(85, 278)"
"(85, 277)"
"(84, 276)"
"(84, 275)"
"(85, 274)"
"(84, 273)"
"(84, 272)"
"(83, 271)"
"(83, 268)"
"(81, 266)"
"(82, 265)"
"(81, 264)"
"(80, 264)"
"(79, 263)"
"(80, 262)"
"(81, 262)"
"(80, 262)"
"(130, 223)"
"(129, 224)"
"(130, 225)"
